
[34m[1mwandb[39m[22m: [33mWARNING[39m Step cannot be set when using tensorboard syncing. Please use `run.define_metric(...)` to define a custom metric to log your step values.
global_step=11337, length=236, survival=2.927%, return=-2.243770271539688
global_step=11373, length=690, survival=8.557%, return=130.54167607426643
global_step=11379, length=521, survival=6.461%, return=-2.6134219765663147
global_step=11388, length=685, survival=8.495%, return=-1.4954379796981812
global_step=11415, length=1385, survival=17.175%, return=133.98234042525291
global_step=11418, length=526, survival=6.523%, return=1.3300279080867767
global_step=11421, length=418, survival=5.184%, return=2.478005200624466
global_step=11469, length=824, survival=10.218%, return=3.231376886367798
global_step=11556, length=994, survival=12.326%, return=83.40599705278873
global_step=11562, length=232, survival=2.877%, return=-2.6622979640960693
global_step=11595, length=386, survival=4.787%, return=0.4125956892967224
global_step=11622, length=438, survival=5.432%, return=4.78890860080719
global_step=11637, length=432, survival=5.357%, return=5.138399094343185
global_step=11649, length=517, survival=6.411%, return=-0.17095309495925903
global_step=11652, length=432, survival=5.357%, return=7.085991024971008
global_step=11655, length=236, survival=2.927%, return=110.47733861207962
global_step=11694, length=819, survival=10.156%, return=2.8175470530986786
global_step=11739, length=1680, survival=20.833%, return=322.2705925107002
global_step=11772, length=258, survival=3.199%, return=5.475030392408371
global_step=11778, length=510, survival=6.324%, return=-2.592546761035919
global_step=11787, length=326, survival=4.043%, return=13.753222331404686
global_step=11811, length=821, survival=10.181%, return=4.505198076367378
global_step=11820, length=381, survival=4.725%, return=-2.3000869750976562
global_step=11829, length=1564, survival=19.395%, return=5.71383062005043
global_step=11835, length=239, survival=2.964%, return=-2.6608925461769104
global_step=11850, length=1117, survival=13.852%, return=3.116145372390747
global_step=11895, length=993, survival=12.314%, return=2.433444917201996
global_step=11937, length=520, survival=6.448%, return=242.4316654354334
global_step=11976, length=1033, survival=12.810%, return=14.717312544584274
global_step=12003, length=671, survival=8.321%, return=0.20520800352096558
global_step=12006, length=459, survival=5.692%, return=4.774369686841965
global_step=12012, length=235, survival=2.914%, return=108.77755671739578
global_step=12039, length=402, survival=4.985%, return=-1.288059189915657
global_step=12045, length=238, survival=2.951%, return=-2.6596262753009796
global_step=12051, length=230, survival=2.852%, return=-2.6651610732078552
global_step=12078, length=380, survival=4.712%, return=0.139633446931839
global_step=12096, length=807, survival=10.007%, return=-1.0389961302280426
global_step=12117, length=132, survival=1.637%, return=-0.688078373670578
global_step=12165, length=407, survival=5.047%, return=1.673460841178894
global_step=12171, length=239, survival=2.964%, return=-2.6608925461769104
global_step=12177, length=515, survival=6.386%, return=-1.800863802433014
global_step=12189, length=803, survival=9.958%, return=-1.2300458550453186
global_step=12204, length=814, survival=10.094%, return=0.2714339792728424
global_step=12291, length=1397, survival=17.324%, return=326.2771862447262
global_step=12321, length=999, survival=12.388%, return=12.232296749949455
global_step=12327, length=507, survival=6.287%, return=234.1375147551298
global_step=12336, length=518, survival=6.424%, return=-1.6247775256633759
global_step=12381, length=152, survival=1.885%, return=3.366488426923752
global_step=12465, length=577, survival=7.155%, return=16.387560859322548
global_step=12474, length=378, survival=4.688%, return=-2.1500347554683685
global_step=12534, length=562, survival=6.969%, return=14.291801646351814
global_step=12537, length=977, survival=12.116%, return=6.123652696609497
