global_step=3000, length=976, survival=12.103%, return=-3.0
global_step=3010, length=512, survival=6.349%, return=-2.6463592052459717
global_step=3030, length=520, survival=6.448%, return=-1.8259749710559845
global_step=3050, length=966, survival=11.979%, return=-0.9921703636646271
global_step=3060, length=1100, survival=13.641%, return=-0.214990496635437
global_step=3070, length=2, survival=0.025%, return=-2.607408881187439
global_step=3080, length=3, survival=0.037%, return=-2.633139491081238
global_step=3090, length=672, survival=8.333%, return=-2.668650507926941
global_step=3100, length=810, survival=10.045%, return=-2.2015009820461273
global_step=3110, length=240, survival=2.976%, return=0.9558354020118713
global_step=3120, length=985, survival=12.215%, return=-0.9383346289396286
global_step=3130, length=519, survival=6.436%, return=-0.6666984409093857
global_step=3140, length=5, survival=0.062%, return=-1.4033975005149841
global_step=3150, length=811, survival=10.057%, return=-1.190057322382927
global_step=3160, length=795, survival=9.859%, return=-2.22551691532135
global_step=3170, length=3, survival=0.037%, return=-2.2534528374671936
global_step=3180, length=518, survival=6.424%, return=-2.568551540374756
global_step=3190, length=812, survival=10.069%, return=-1.4121006429195404
global_step=3210, length=979, survival=12.140%, return=-2.325477659702301
global_step=3220, length=232, survival=2.877%, return=-1.818797528743744
global_step=3230, length=378, survival=4.688%, return=-1.3227939307689667
global_step=3240, length=460, survival=5.704%, return=5.294650450348854
global_step=3260, length=485, survival=6.014%, return=-1.4897539019584656
global_step=3270, length=498, survival=6.176%, return=-1.7821670174598694
global_step=3280, length=809, survival=10.032%, return=-2.5815656781196594
global_step=3290, length=685, survival=8.495%, return=1.2945534884929657
global_step=3300, length=411, survival=5.097%, return=0.1206783652305603
global_step=3310, length=672, survival=8.333%, return=-0.396536260843277
global_step=3320, length=1093, survival=13.554%, return=-2.1956526339054108
global_step=3350, length=445, survival=5.518%, return=1.9207562804222107
global_step=3370, length=953, survival=11.818%, return=-1.319097489118576
global_step=3380, length=398, survival=4.936%, return=-0.8216707706451416
global_step=3390, length=9, survival=0.112%, return=0.17751994729042053
global_step=3400, length=1528, survival=18.948%, return=-2.5785782635211945
global_step=3410, length=120, survival=1.488%, return=-3.0
global_step=3420, length=521, survival=6.461%, return=-3.0
global_step=3430, length=1100, survival=13.641%, return=-0.9562710821628571
global_step=3440, length=695, survival=8.619%, return=-2.1973247826099396
global_step=3450, length=803, survival=9.958%, return=131.11926174163818
global_step=3470, length=513, survival=6.362%, return=-2.8569596856832504
global_step=3480, length=526, survival=6.523%, return=0.16519472002983093
global_step=3490, length=9, survival=0.112%, return=0.06338900327682495
global_step=3510, length=980, survival=12.153%, return=-0.7665033042430878
global_step=3530, length=8, survival=0.099%, return=-0.10410884022712708
global_step=3540, length=130, survival=1.612%, return=-0.10337817668914795
global_step=3560, length=805, survival=9.983%, return=-2.6271035373210907
global_step=3570, length=968, survival=12.004%, return=-1.6778902113437653
global_step=3580, length=522, survival=6.473%, return=0.6003538519144058
global_step=3590, length=1098, survival=13.616%, return=-2.861555054783821
global_step=3600, length=957, survival=11.868%, return=-2.2684695720672607
global_step=3610, length=371, survival=4.601%, return=-2.193700224161148
global_step=3620, length=814, survival=10.094%, return=-0.5718057453632355
global_step=3630, length=525, survival=6.510%, return=0.7521012425422668
global_step=3640, length=810, survival=10.045%, return=-1.9693675637245178
global_step=3650, length=392, survival=4.861%, return=-3.0
global_step=3660, length=808, survival=10.020%, return=-3.0
global_step=3670, length=679, survival=8.420%, return=-1.0561769306659698
global_step=3680, length=235, survival=2.914%, return=-2.254016399383545
global_step=3700, length=810, survival=10.045%, return=-2.1908099949359894
global_step=3710, length=968, survival=12.004%, return=-0.960037887096405
global_step=3720, length=436, survival=5.407%, return=-1.1918906271457672
global_step=3730, length=1094, survival=13.566%, return=-1.6068576723337173
global_step=3740, length=807, survival=10.007%, return=-2.1718089878559113
global_step=3750, length=732, survival=9.077%, return=-2.576712906360626
global_step=3760, length=393, survival=4.874%, return=1.0758573412895203
global_step=3770, length=368, survival=4.563%, return=-3.0
global_step=3780, length=6, survival=0.074%, return=-1.0312583446502686
global_step=3790, length=800, survival=9.921%, return=-1.8263234496116638
global_step=3800, length=813, survival=10.082%, return=-1.498541846871376
global_step=3810, length=440, survival=5.456%, return=-1.7277663052082062
global_step=3820, length=1099, survival=13.628%, return=189.78918075561523
global_step=3840, length=409, survival=5.072%, return=-1.4860474914312363
global_step=3860, length=1089, survival=13.504%, return=-1.8234861493110657
global_step=3870, length=137, survival=1.699%, return=-0.35968559980392456
global_step=3880, length=1100, survival=13.641%, return=-1.9787143468856812
