Seed,Hypervolume XY,Hypervolume XZ,Hypervolume YZ,Sparsity XY,Sparsity XZ,Sparsity YZ,Hypervolume 3D,Sparsity 3D,Min Return X,Max Return X,Min Return Y,Max Return Y,Min Return Z,Max Return Z,Pareto Points Count
Seed 1,2.589728340352138,4.1665140429935565,3.8939503324693936,0.1826599782545849,1.059491174711934,1.7949884955834758,3.81412753093939,1.6169589200987022,0.012272403041521706,1.6555409618523464,0.014729738124211625,1.5957568765806351,-3.0467775517618376,0.0,8.0
Seed 2,9.932077104236138,3.6044926109810365,3.488650937521049,0.0,2.1523358817245324,2.1106404857067806,5.11389210629827,2.376771579682596,0.00045100054403146106,3.202016441812263,0.000465631902774175,3.1027221018819597,-2.727454385937903,-0.0007604761904761903,6.0
Seed 3,5.863834574471454,1.7788623603614393,1.6626721415574655,0.0,1.5507611664137364,1.5126670621021892,1.923933324728017,1.7966616684099919,0.0001376668612162272,2.448749228174081,0.00014778149922688803,2.3949067817089045,-1.6406064561666314,-0.00019047619047619045,6.0
Seed 4,8.053364372792181,2.309032357605476,2.1947945043404182,0.0,1.7505661864824569,1.7314102478776476,2.0037943706149366,2.3175517763825573,9.93484656016032e-05,2.8502755928064296,0.0001231488784154256,2.8256903006580822,-1.9479709428571441,-9.523809523809523e-05,5.0
Seed 5,4.051620328332945,2.1437788275242857,2.0637716332376024,0.0,1.2462875938308824,1.2057923009556177,1.6649261555549337,1.5294856047876102,0.0,2.0470962052926915,0.0,1.9792036729185616,-1.6733000714286148,0.0,8.0
Superseed,9.934967184600339,6.475357572820918,6.3094270353405815,0.0,1.644534238675501,1.7593270054406227,7.988052266676327,1.7065334447093912,0.0,3.202016441812263,0.0,3.1027221018819597,-3.0467775517618376,0.0,33.0
Mean,6.098124944036971,2.8005360398931587,2.6607679098251857,,,,2.9041346976271094,1.9274859098722914,0.0025920837824741994,2.4407356859875624,0.0030932600809256226,2.3796559467496285,-2.207221881630426,-0.00020923809523809518,6.6
Std Dev,2.6485494233097167,0.9196700589122486,0.8690063436567017,,,,1.34299367150252,0.3538234671959537,0.004842511920681944,0.5511475912849687,0.005820269987780004,0.5471496455924327,0.574252935704356,0.00028452508069052554,1.2
