Seed,Hypervolume 3D,Sparsity 3D
Seed 1,3.81412753093939,1.6169589200987022
Seed 2,5.11389210629827,2.376771579682596
Seed 3,1.923933324728017,1.7966616684099919
Seed 4,2.0037943706149366,2.3175517763825573
Seed 5,1.6649261555549337,1.5294856047876102
Superseed,7.988052266676327,1.7065334447093912
