
[34m[1mwandb[39m[22m: [33mWARNING[39m Step cannot be set when using tensorboard syncing. Please use `run.define_metric(...)` to define a custom metric to log your step values.
global_step=8037, length=1092, survival=13.542%, return=318.37476962804794
global_step=8094, length=531, survival=6.585%, return=4.456866264343262
global_step=8133, length=724, survival=8.978%, return=11.87785655260086
global_step=8301, length=865, survival=10.727%, return=157.46034434437752
global_step=8391, length=30, survival=0.372%, return=9.515585750341415
global_step=8511, length=1657, survival=20.548%, return=405.51418620347977
global_step=8631, length=568, survival=7.044%, return=52.04240496456623
global_step=8718, length=3084, survival=38.244%, return=1255.628348737955
global_step=8739, length=1012, survival=12.550%, return=148.58420369029045
global_step=8877, length=1255, survival=15.563%, return=387.8013987839222
global_step=8883, length=127, survival=1.575%, return=-2.574782431125641
global_step=8943, length=426, survival=5.283%, return=1.2317008823156357
global_step=9015, length=48, survival=0.595%, return=12.45016348361969
global_step=9048, length=1572, survival=19.494%, return=227.5092664361
global_step=9120, length=1115, survival=13.827%, return=6.12674954533577
global_step=9228, length=423, survival=5.246%, return=11.102488428354263
global_step=9375, length=1472, survival=18.254%, return=362.79025861620903
global_step=9423, length=694, survival=8.606%, return=132.38455894589424
global_step=9549, length=3283, survival=40.712%, return=1228.54384714365
global_step=9678, length=559, survival=6.932%, return=12.557500749826431
global_step=9684, length=231, survival=2.865%, return=-2.6609158515930176
global_step=9804, length=774, survival=9.598%, return=121.98257127404213
global_step=9837, length=1019, survival=12.636%, return=8.362339675426483
global_step=9891, length=1111, survival=13.777%, return=322.40512332320213
