global_step=4022, length=694, survival=8.606%, return=1.423451691865921
global_step=4030, length=1261, survival=15.637%, return=-1.5767551958560944
global_step=4034, length=514, survival=6.374%, return=-2.6412169337272644
global_step=4046, length=534, survival=6.622%, return=2.8830239176750183
global_step=4056, length=815, survival=10.107%, return=0.5643774569034576
global_step=4064, length=4, survival=0.050%, return=-1.8463759124279022
global_step=4066, length=511, survival=6.337%, return=-3.0
global_step=4074, length=417, survival=5.171%, return=1.532164454460144
global_step=4082, length=525, survival=6.510%, return=-0.24108636379241943
global_step=4086, length=385, survival=4.774%, return=-1.100545197725296
global_step=4100, length=684, survival=8.482%, return=0.019951701164245605
global_step=4116, length=390, survival=4.836%, return=2.8986406922340393
global_step=4120, length=383, survival=4.750%, return=0.5357507765293121
global_step=4138, length=489, survival=6.064%, return=0.2742117941379547
global_step=4148, length=130, survival=1.612%, return=-1.4524829685688019
global_step=4156, length=824, survival=10.218%, return=2.720998778939247
global_step=4174, length=817, survival=10.131%, return=0.9753054678440094
global_step=4206, length=1107, survival=13.728%, return=2.1746667474508286
global_step=4220, length=767, survival=9.511%, return=-0.8465309739112854
global_step=4246, length=413, survival=5.122%, return=1.3472378253936768
global_step=4266, length=800, survival=9.921%, return=0.24207107722759247
global_step=4288, length=439, survival=5.444%, return=-0.32984884083271027
global_step=4290, length=676, survival=8.383%, return=-3.0
global_step=4292, length=13, survival=0.161%, return=1.4029965996742249
global_step=4300, length=1003, survival=12.438%, return=-1.6094425320625305
global_step=4336, length=985, survival=12.215%, return=4.673662900924683
global_step=4354, length=700, survival=8.681%, return=-0.08165031671524048
global_step=4372, length=531, survival=6.585%, return=8.825367584824562
global_step=4380, length=517, survival=6.411%, return=-1.7727812230587006
global_step=4382, length=515, survival=6.386%, return=-3.0
global_step=4430, length=532, survival=6.597%, return=5.444938212633133
global_step=4470, length=1263, survival=15.662%, return=348.7154912352562
global_step=4476, length=999, survival=12.388%, return=5.840527713298798
global_step=4490, length=517, survival=6.411%, return=-0.5861340463161469
global_step=4584, length=983, survival=12.190%, return=119.02188627421856
global_step=4596, length=860, survival=10.665%, return=15.708483710885048
global_step=4628, length=1100, survival=13.641%, return=2.1135799884796143
global_step=4638, length=1553, survival=19.258%, return=3.7425457537174225
global_step=4660, length=527, survival=6.535%, return=182.08181396126747
global_step=4672, length=814, survival=10.094%, return=-0.9012439250946045
global_step=4696, length=709, survival=8.792%, return=3.6230733692646027
global_step=4710, length=380, survival=4.712%, return=-0.6129500269889832
global_step=4714, length=542, survival=6.721%, return=4.913876056671143
global_step=4744, length=530, survival=6.572%, return=3.1569099128246307
global_step=4748, length=514, survival=6.374%, return=-2.649137258529663
global_step=4756, length=978, survival=12.128%, return=5.6030548214912415
global_step=4802, length=452, survival=5.605%, return=5.680859684944153
global_step=4846, length=1028, survival=12.748%, return=15.24196046590805
global_step=4860, length=1098, survival=13.616%, return=42.0851044356823
global_step=4880, length=376, survival=4.663%, return=0.5464857518672943
global_step=4882, length=375, survival=4.650%, return=-3.0
global_step=4914, length=388, survival=4.812%, return=3.056725263595581
global_step=4942, length=429, survival=5.320%, return=6.853475138545036
global_step=4954, length=523, survival=6.486%, return=-1.2208923399448395
global_step=5032, length=839, survival=10.404%, return=5.9895549565553665
global_step=5040, length=583, survival=7.230%, return=15.469799801707268
global_step=5094, length=807, survival=10.007%, return=135.65115186572075
global_step=5114, length=400, survival=4.960%, return=43.26817969977856
global_step=5116, length=527, survival=6.535%, return=-3.0
global_step=5126, length=811, survival=10.057%, return=2.8220564424991608
global_step=5200, length=733, survival=9.090%, return=13.351542741060257
global_step=5208, length=1594, survival=19.767%, return=12.928807824850082
global_step=5232, length=385, survival=4.774%, return=0.12343861162662506
global_step=5270, length=533, survival=6.610%, return=4.349485993385315
global_step=5284, length=407, survival=5.047%, return=186.69800093770027
global_step=5330, length=1125, survival=13.951%, return=7.459415316581726
global_step=5346, length=460, survival=5.704%, return=13.928934514522552
global_step=5408, length=540, survival=6.696%, return=7.891458809375763
global_step=5502, length=769, survival=9.536%, return=24.719762608408928
global_step=5518, length=231, survival=2.865%, return=107.30492100119591
global_step=5542, length=496, survival=6.151%, return=21.232187509536743
global_step=5590, length=836, survival=10.367%, return=11.091398477554321
global_step=5638, length=813, survival=10.082%, return=54.451521158218384
global_step=5694, length=828, survival=10.268%, return=7.327614098787308
global_step=5804, length=1186, survival=14.707%, return=212.29086551070213
global_step=5874, length=608, survival=7.540%, return=30.78184475004673
global_step=5916, length=532, survival=6.597%, return=4.224609851837158
global_step=6028, length=851, survival=10.553%, return=193.96956303715706
global_step=6062, length=822, survival=10.193%, return=3.2155540883541107
global_step=6096, length=1129, survival=14.000%, return=4.429175943136215
