[34m[1mwandb[0m: [33mWARNING[0m Step cannot be set when using tensorboard syncing. Please use `run.define_metric(...)` to define a custom metric to log your step values.
global_step=702, length=790, survival=9.797%, return=-2.2112507820129395
global_step=706, length=805, survival=9.983%, return=-1.9122993052005768
global_step=710, length=691, survival=8.569%, return=-2.090707540512085
global_step=712, length=519, survival=6.436%, return=-1.5600004196166992
global_step=716, length=376, survival=4.663%, return=-2.6359517872333527
global_step=720, length=516, survival=6.399%, return=-1.5546385049819946
global_step=722, length=511, survival=6.337%, return=-2.2321378588676453
global_step=730, length=806, survival=9.995%, return=-1.5545593798160553
global_step=734, length=812, survival=10.069%, return=-2.7250396609306335
global_step=738, length=141, survival=1.749%, return=-2.5948439836502075
global_step=746, length=387, survival=4.799%, return=0.5011512935161591
global_step=750, length=372, survival=4.613%, return=-2.597248077392578
global_step=752, length=236, survival=2.927%, return=-3.0
global_step=764, length=522, survival=6.473%, return=-1.3770228624343872
global_step=766, length=395, survival=4.898%, return=1.0176894068717957
global_step=776, length=959, survival=11.892%, return=-1.1138458847999573
global_step=784, length=522, survival=6.473%, return=-1.7771504819393158
global_step=790, length=1107, survival=13.728%, return=0.8288849145174026
global_step=810, length=1260, survival=15.625%, return=0.8155924379825592
global_step=820, length=710, survival=8.805%, return=0.5640791058540344
global_step=834, length=822, survival=10.193%, return=1.5238948166370392
global_step=850, length=143, survival=1.773%, return=3.35747891664505
global_step=858, length=524, survival=6.498%, return=-2.0344254970550537
global_step=862, length=1390, survival=17.237%, return=-1.0099829733371735
global_step=882, length=522, survival=6.473%, return=0.5699133574962616
global_step=906, length=1099, survival=13.628%, return=1.4803656041622162
global_step=910, length=377, survival=4.675%, return=-2.609449952840805
global_step=914, length=2, survival=0.025%, return=-2.5729960203170776
global_step=918, length=804, survival=9.970%, return=-2.6071614027023315
global_step=920, length=233, survival=2.889%, return=-2.311491012573242
global_step=932, length=1248, survival=15.476%, return=-1.0440252721309662
global_step=934, length=802, survival=9.945%, return=-3.0
global_step=938, length=234, survival=2.902%, return=-2.660351037979126
global_step=954, length=1096, survival=13.591%, return=130.05242040753365
global_step=974, length=399, survival=4.948%, return=0.48062264919281006
global_step=976, length=968, survival=12.004%, return=-3.0
global_step=982, length=816, survival=10.119%, return=1.3618088364601135
global_step=986, length=520, survival=6.448%, return=-2.6209577918052673
global_step=988, length=519, survival=6.436%, return=-1.0081771314144135
global_step=990, length=504, survival=6.250%, return=-3.0
global_step=1006, length=522, survival=6.473%, return=-0.04716604948043823
global_step=1040, length=418, survival=5.184%, return=5.074172854423523
global_step=1052, length=708, survival=8.780%, return=0.09089446067810059
global_step=1078, length=437, survival=5.419%, return=10.930441856384277
global_step=1086, length=436, survival=5.407%, return=-2.317508727312088
global_step=1090, length=237, survival=2.939%, return=-2.660377323627472
global_step=1114, length=12, survival=0.149%, return=0.5124421119689941
global_step=1116, length=551, survival=6.833%, return=7.237423479557037
global_step=1124, length=696, survival=8.631%, return=-1.1764954328536987
global_step=1126, length=515, survival=6.386%, return=-3.0
global_step=1130, length=412, survival=5.109%, return=-2.783259779214859
global_step=1140, length=377, survival=4.675%, return=-1.5743829011917114
global_step=1154, length=514, survival=6.374%, return=-0.469784140586853
global_step=1178, length=1114, survival=13.814%, return=64.4489289522171
global_step=1182, length=1387, survival=17.200%, return=-2.6140270233154297
global_step=1198, length=522, survival=6.473%, return=-0.5101005434989929
global_step=1214, length=433, survival=5.370%, return=-1.8541191518306732
global_step=1236, length=730, survival=9.053%, return=0.8473763763904572
global_step=1238, length=30, survival=0.372%, return=6.825807601213455
global_step=1244, length=1264, survival=15.675%, return=-1.1303389966487885
global_step=1246, length=232, survival=2.877%, return=-1.9801140427589417
global_step=1256, length=236, survival=2.927%, return=-0.5261490941047668
global_step=1258, length=229, survival=2.840%, return=-3.0
global_step=1270, length=703, survival=8.718%, return=134.54466038942337
global_step=1278, length=806, survival=9.995%, return=-1.819216012954712
global_step=1288, length=795, survival=9.859%, return=-1.3936921060085297
global_step=1316, length=418, survival=5.184%, return=1.460839420557022
global_step=1322, length=1275, survival=15.811%, return=216.10674133896828
global_step=1328, length=527, survival=6.535%, return=-1.5910320580005646
global_step=1330, length=522, survival=6.473%, return=-0.583164632320404
global_step=1332, length=398, survival=4.936%, return=-2.5764833092689514
global_step=1338, length=431, survival=5.345%, return=-2.096601903438568
global_step=1340, length=415, survival=5.146%, return=-1.8786491453647614
global_step=1366, length=984, survival=12.202%, return=0.7672100514173508
global_step=1382, length=964, survival=11.954%, return=-0.02180550992488861
global_step=1388, length=810, survival=10.045%, return=-2.0663692355155945
global_step=1408, length=382, survival=4.737%, return=0.3019482493400574
global_step=1456, length=261, survival=3.237%, return=7.8726023733615875
global_step=1464, length=520, survival=6.448%, return=-1.8968543708324432
global_step=1510, length=1142, survival=14.162%, return=14.656522125005722
global_step=1522, length=519, survival=6.436%, return=-0.9371610283851624
global_step=1530, length=516, survival=6.399%, return=-1.7999549806118011
global_step=1566, length=442, survival=5.481%, return=6.559905305504799
global_step=1570, length=799, survival=9.908%, return=-2.6045895516872406
global_step=1572, length=395, survival=4.898%, return=4.01866739988327
global_step=1576, length=231, survival=2.865%, return=-2.66389536857605
global_step=1626, length=547, survival=6.783%, return=7.506023496389389
global_step=1644, length=836, survival=10.367%, return=9.18749514222145
global_step=1686, length=1107, survival=13.728%, return=4.835844993591309
global_step=1690, length=420, survival=5.208%, return=-2.5839468240737915
global_step=1702, length=723, survival=8.966%, return=7.896212786436081
global_step=1734, length=532, survival=6.597%, return=2.049037605524063
global_step=1752, length=527, survival=6.535%, return=0.2925843596458435
global_step=1766, length=432, survival=5.357%, return=9.819811671972275
global_step=1800, length=24, survival=0.298%, return=5.967514276504517
global_step=1804, length=820, survival=10.169%, return=2.804916486144066
global_step=1852, length=1076, survival=13.343%, return=7.929437816143036
global_step=1856, length=230, survival=2.852%, return=-2.6666170954704285
global_step=1956, length=1012, survival=12.550%, return=17.443491250276566
global_step=2028, length=1106, survival=13.715%, return=274.33103746175766
global_step=2062, length=530, survival=6.572%, return=3.4449676275253296
global_step=2096, length=648, survival=8.036%, return=43.52963641285896
global_step=2102, length=229, survival=2.840%, return=-2.3899877965450287
global_step=2390, length=1365, survival=16.927%, return=112.58297854661942
global_step=2406, length=812, survival=10.069%, return=-0.3490576595067978
global_step=2468, length=1761, survival=21.838%, return=640.6999948620796
global_step=2702, length=641, survival=7.949%, return=110.63991808891296
global_step=2720, length=229, survival=2.840%, return=105.936797529459
global_step=2834, length=3340, survival=41.419%, return=1246.6617884635925
global_step=2872, length=2164, survival=26.835%, return=575.6535695791245
global_step=2932, length=543, survival=6.734%, return=8.297188758850098
global_step=3006, length=749, survival=9.288%, return=13.526987314224243
global_step=3010, length=228, survival=2.827%, return=-2.662984997034073
global_step=3098, length=518, survival=6.424%, return=43.19164997339249
global_step=3432, length=1227, survival=15.216%, return=320.346552580595
global_step=3494, length=751, survival=9.313%, return=75.17425166070461
global_step=3506, length=533, survival=6.610%, return=49.612629890441895
global_step=3600, length=1122, survival=13.914%, return=146.88677471876144
global_step=3628, length=384, survival=4.762%, return=2.521629273891449
global_step=3804, length=1410, survival=17.485%, return=411.6182930767536
global_step=3844, length=528, survival=6.548%, return=4.696772456169128
global_step=3942, length=1264, survival=15.675%, return=216.34989294409752
