objective,iteration,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
-9.646937459468905,6,1745218191,,False,6,6c169_00005,2025-04-21_13-49-51,0.0,0.0,22020,DESKTOP-TOTIENHUNG,127.0.0.1,0.0,6
-9.646937459468905,7,1745218191,,False,7,6c169_00005,2025-04-21_13-49-51,0.0,0.0,22020,DESKTOP-TOTIENHUNG,127.0.0.1,0.0,7
-9.646937459468905,8,1745218191,,False,8,6c169_00005,2025-04-21_13-49-51,0.0,0.0,22020,DESKTOP-TOTIENHUNG,127.0.0.1,0.0,8
-9.646937459468905,9,1745218191,,False,9,6c169_00005,2025-04-21_13-49-51,0.0,0.0,22020,DESKTOP-TOTIENHUNG,127.0.0.1,0.0,9
-9.646937459468905,10,1745218191,,False,10,6c169_00005,2025-04-21_13-49-51,0.004006624221801758,0.004006624221801758,22020,DESKTOP-TOTIENHUNG,127.0.0.1,0.004006624221801758,10
-9.646937459468905,11,1745218191,,False,11,6c169_00005,2025-04-21_13-49-51,0.0,0.004006624221801758,22020,DESKTOP-TOTIENHUNG,127.0.0.1,0.004006624221801758,11
-9.646937459468905,12,1745218191,,False,12,6c169_00005,2025-04-21_13-49-51,0.0,0.004006624221801758,22020,DESKTOP-TOTIENHUNG,127.0.0.1,0.004006624221801758,12
-9.646937459468905,13,1745218191,,False,13,6c169_00005,2025-04-21_13-49-51,0.0,0.004006624221801758,22020,DESKTOP-TOTIENHUNG,127.0.0.1,0.004006624221801758,13
-9.646937459468905,14,1745218191,,False,14,6c169_00005,2025-04-21_13-49-51,0.0,0.004006624221801758,22020,DESKTOP-TOTIENHUNG,127.0.0.1,0.004006624221801758,14
-9.646937459468905,15,1745218191,,False,15,6c169_00005,2025-04-21_13-49-51,0.0,0.004006624221801758,22020,DESKTOP-TOTIENHUNG,127.0.0.1,0.004006624221801758,15
-9.646937459468905,1,1745218237,,False,1,6c169_00005,2025-04-21_13-50-37,0.000522613525390625,0.000522613525390625,25516,DESKTOP-TOTIENHUNG,127.0.0.1,0.000522613525390625,1
-9.646937459468905,2,1745218238,,False,2,6c169_00005,2025-04-21_13-50-38,0.0005240440368652344,0.0010466575622558594,25516,DESKTOP-TOTIENHUNG,127.0.0.1,0.0010466575622558594,2
-9.646937459468905,3,1745218238,,False,3,6c169_00005,2025-04-21_13-50-38,0.0,0.0010466575622558594,25516,DESKTOP-TOTIENHUNG,127.0.0.1,0.0010466575622558594,3
