global_step=5, length=400, survival=4.960%, return=-3.0
global_step=955, length=397, survival=4.923%, return=0.3504764437675476
global_step=960, length=810, survival=10.045%, return=-2.6376957297325134
global_step=975, length=524, survival=6.498%, return=0.55170077085495
global_step=985, length=527, survival=6.535%, return=2.0171572268009186
global_step=1015, length=261, survival=3.237%, return=5.242483973503113
global_step=1030, length=814, survival=10.094%, return=1.023016333580017
global_step=1045, length=1101, survival=13.653%, return=2.6459194123744965
global_step=1070, length=419, survival=5.196%, return=-0.33193132281303406
global_step=1085, length=395, survival=4.898%, return=-0.2572372853755951
global_step=1115, length=524, survival=6.498%, return=0.4767053499817848
global_step=1120, length=417, survival=5.171%, return=-3.0
global_step=1130, length=979, survival=12.140%, return=-2.2045837342739105
global_step=1140, length=1107, survival=13.728%, return=2.657707631587982
global_step=1175, length=814, survival=10.094%, return=-0.03332611918449402
global_step=1180, length=523, survival=6.486%, return=0.04680067300796509
global_step=1185, length=811, survival=10.057%, return=-2.5380223989486694
global_step=1195, length=952, survival=11.806%, return=-2.2412005364894867
global_step=1200, length=1098, survival=13.616%, return=135.2203285098076
global_step=1220, length=815, survival=10.107%, return=-1.4666463136672974
global_step=1225, length=1097, survival=13.604%, return=-1.2111861407756805
global_step=1270, length=703, survival=8.718%, return=3.7322672307491302
global_step=1280, length=522, survival=6.473%, return=0.5918043553829193
global_step=1285, length=234, survival=2.902%, return=-2.293049395084381
global_step=1305, length=829, survival=10.280%, return=6.512128710746765
global_step=1315, length=249, survival=3.088%, return=3.75493061542511
global_step=1345, length=706, survival=8.755%, return=0.7707917392253876
global_step=1350, length=806, survival=9.995%, return=0.0631752610206604
global_step=1420, length=3135, survival=38.876%, return=724.042060226202
global_step=1430, length=1106, survival=13.715%, return=3.844892591238022
global_step=1445, length=519, survival=6.436%, return=-1.4900497794151306
global_step=1450, length=533, survival=6.610%, return=4.686909645795822
global_step=1455, length=980, survival=12.153%, return=78.48734784126282
global_step=1460, length=989, survival=12.264%, return=-2.1521177291870117
global_step=1475, length=383, survival=4.750%, return=-1.6410462260246277
global_step=1490, length=817, survival=10.131%, return=0.8730401396751404
global_step=1500, length=382, survival=4.737%, return=-0.18344509601593018
global_step=1505, length=704, survival=8.730%, return=-3.0
global_step=1560, length=1105, survival=13.703%, return=1.3807685375213623
global_step=1570, length=232, survival=2.877%, return=-2.65995454788208
global_step=1590, length=402, survival=4.985%, return=5.390757083892822
