
[34m[1mwandb[39m[22m: [33mWARNING[39m Step cannot be set when using tensorboard syncing. Please use `run.define_metric(...)` to define a custom metric to log your step values.
global_step=9, length=3, survival=0.037%, return=-2.217495560646057
global_step=12, length=702, survival=8.705%, return=-1.8223349153995514
global_step=18, length=1382, survival=17.138%, return=-2.223162680864334
global_step=27, length=1100, survival=13.641%, return=-0.6653279960155487
global_step=36, length=1095, survival=13.579%, return=-0.9302946031093597
global_step=39, length=801, survival=9.933%, return=-3.0
global_step=42, length=525, survival=6.510%, return=-0.13472583889961243
global_step=54, length=812, survival=10.069%, return=-1.9042244255542755
global_step=63, length=684, survival=8.482%, return=-2.2744088172912598
global_step=69, length=518, survival=6.424%, return=-2.569762498140335
global_step=84, length=415, survival=5.146%, return=1.21512833237648
global_step=87, length=11, survival=0.136%, return=0.40133874118328094
global_step=93, length=699, survival=8.668%, return=-0.15198010206222534
global_step=96, length=1085, survival=13.455%, return=-3.3941643983125687
global_step=102, length=382, survival=4.737%, return=-1.6480195224285126
global_step=117, length=1086, survival=13.467%, return=-0.4801238179206848
global_step=120, length=380, survival=4.712%, return=-0.33112457394599915
global_step=126, length=957, survival=11.868%, return=-2.6569176018238068
global_step=129, length=409, survival=5.072%, return=-0.7382858395576477
global_step=138, length=1090, survival=13.517%, return=-2.1607554852962494
global_step=141, length=1656, survival=20.536%, return=319.98681661486626
global_step=144, length=3, survival=0.037%, return=-2.1097433269023895
global_step=156, length=398, survival=4.936%, return=-1.4437796771526337
global_step=165, length=376, survival=4.663%, return=0.2076425552368164
global_step=174, length=972, survival=12.054%, return=-0.9460411965847015
global_step=177, length=806, survival=9.995%, return=-1.9511510729789734
global_step=186, length=1002, survival=12.426%, return=1.6684658229351044
global_step=195, length=525, survival=6.510%, return=-1.3548893630504608
global_step=198, length=523, survival=6.486%, return=-1.9744124114513397
global_step=204, length=525, survival=6.510%, return=-2.629844456911087
global_step=210, length=954, survival=11.830%, return=-2.652300238609314
global_step=219, length=990, survival=12.277%, return=3.2525407522916794
global_step=222, length=809, survival=10.032%, return=-1.8440361022949219
global_step=237, length=11, survival=0.136%, return=0.8315763175487518
global_step=243, length=526, survival=6.523%, return=-1.09459787607193
global_step=246, length=716, survival=8.879%, return=-2.280611425638199
global_step=255, length=723, survival=8.966%, return=-1.8365638554096222
global_step=264, length=969, survival=12.016%, return=-2.120982527732849
global_step=273, length=513, survival=6.362%, return=-2.2933543622493744
global_step=282, length=519, survival=6.436%, return=-1.3809296190738678
global_step=288, length=742, survival=9.201%, return=6.261179804801941
global_step=291, length=234, survival=2.902%, return=-2.2945896685123444
global_step=306, length=808, survival=10.020%, return=-1.5598805248737335
global_step=309, length=417, survival=5.171%, return=1.559884399175644
global_step=312, length=433, survival=5.370%, return=-2.5627958178520203
global_step=318, length=811, survival=10.057%, return=-2.2997221648693085
global_step=321, length=804, survival=9.970%, return=-2.2468312084674835
global_step=327, length=526, survival=6.523%, return=1.3122091442346573
global_step=330, length=682, survival=8.457%, return=-1.8187761008739471
global_step=336, length=980, survival=12.153%, return=-0.9312894642353058
global_step=339, length=521, survival=6.461%, return=-1.855176031589508
