global_step=2058, length=158, survival=1.959%, return=9.28613132238388
global_step=2116, length=763, survival=9.462%, return=28.94971013069153
global_step=2298, length=1037, survival=12.860%, return=144.0596945732832
global_step=2416, length=3109, survival=38.554%, return=1112.7620952427387
global_step=2754, length=1373, survival=17.026%, return=396.46241042017937
global_step=2912, length=5129, survival=63.604%, return=2225.209350928664
global_step=2916, length=232, survival=2.877%, return=-2.6630769073963165
global_step=2944, length=974, survival=12.078%, return=280.0680403113365
global_step=2972, length=1119, survival=13.876%, return=58.48782104253769
global_step=3030, length=828, survival=10.268%, return=8.614144206047058
global_step=3256, length=1167, survival=14.472%, return=297.22323566675186
global_step=3260, length=235, survival=2.914%, return=-2.6617038249969482
global_step=3528, length=1119, survival=13.876%, return=57.022471368312836
global_step=3680, length=1458, survival=18.080%, return=286.3651538491249
global_step=3748, length=1344, survival=16.667%, return=247.24833258986473
global_step=3752, length=232, survival=2.877%, return=-2.6622979640960693
global_step=3756, length=232, survival=2.877%, return=-2.65995454788208
global_step=3796, length=824, survival=10.218%, return=5.463228791952133
global_step=3876, length=154, survival=1.910%, return=13.408664762973785
