
[34m[1mwandb[39m[22m: [33mWARNING[39m Step cannot be set when using tensorboard syncing. Please use `run.define_metric(...)` to define a custom metric to log your step values.
global_step=6093, length=1040, survival=12.897%, return=9.84143003821373
global_step=6099, length=231, survival=2.865%, return=-2.66389536857605
global_step=6300, length=1123, survival=13.926%, return=149.6088745892048
global_step=6306, length=799, survival=9.908%, return=181.39351245760918
global_step=6309, length=238, survival=2.951%, return=-2.388746500015259
global_step=6510, length=1397, survival=17.324%, return=55.85769376158714
global_step=6621, length=547, survival=6.783%, return=72.98059776425362
global_step=6627, length=237, survival=2.939%, return=-2.660377323627472
global_step=6717, length=530, survival=6.572%, return=53.177334040403366
global_step=6861, length=1002, survival=12.426%, return=92.26859438419342
global_step=6876, length=784, survival=9.722%, return=26.02472072839737
global_step=6942, length=2714, survival=33.656%, return=656.9603908956051
global_step=7002, length=558, survival=6.920%, return=11.848556905984879
global_step=7008, length=824, survival=10.218%, return=6.148774445056915
global_step=7011, length=812, survival=10.069%, return=-2.2945231795310974
global_step=7047, length=528, survival=6.548%, return=1.5930358171463013
global_step=7074, length=522, survival=6.473%, return=0.38232502341270447
global_step=7080, length=233, survival=2.889%, return=-2.665423572063446
global_step=7119, length=550, survival=6.820%, return=72.48484161496162
global_step=7416, length=1574, survival=19.519%, return=360.36097726225853
global_step=7422, length=810, survival=10.045%, return=-2.6116459369659424
global_step=7677, length=1439, survival=17.845%, return=187.9303081035614
global_step=7803, length=911, survival=11.297%, return=152.8216866403818
